公告日期,代码,公告类型,标题,来源,链接,事件类型
2026-08-17 19:30:00,000582,证券新闻,【港航动态快讯】北部湾港首批自动化连续卸船机抵港,广东省港口协会,https://gu.qq.com/resources/shy/news/detail-v2/index.html#/index?id=nesSN2026081721004794dbb1d1&s=b,证券新闻
2026-08-17 17:06:43,000582,证券新闻,快递反内卷推进，油运运价上涨【华源交运|周报0816】,华源交运研究,https://gu.qq.com/resources/shy/news/detail-v2/index.html#/index?id=nesSN20260817175303a4b1ac4f&s=b,证券新闻
2026-08-17 16:21:00,000582,证券新闻,短线防风险 18只个股短期均线现死叉,证券时报网,http://finance.eastmoney.com/a/202608173843182477.html,证券新闻
2026-08-17 15:24:19,000582,证券新闻,北部湾港主力资金净流出2700.1万 短期抛压加剧但长期逻辑未改,智选洞察,https://gu.qq.com/resources/shy/news/detail-v2/index.html#/index?id=nesSN20260817154324a707fa28&s=b,证券新闻
2026-08-17 11:02:30,000582,证券新闻,2030年基本建成陆海交通枢纽！广西谋划“十五五”蓝图,中国水运报社,https://gu.qq.com/resources/shy/news/detail-v2/index.html#/index?id=nesSN20260817110713a4b11cd9&s=b,证券新闻
2026-08-17 09:30:42,000582,证券新闻,北部湾港8月14日被融资净卖出4386万元,市场透视,https://gu.qq.com/resources/shy/news/detail-v2/index.html#/index?id=nesSN20260817095556a7078589&s=b,证券新闻
2026-08-17 09:30:40,000582,证券新闻,北部湾港跌4.76% 港口板块回调引发抛压,智选洞察,https://gu.qq.com/resources/shy/news/detail-v2/index.html#/index?id=nesSN2026081709540094dac595&s=b,证券新闻
2026-08-17 00:00:00,000582,证券新闻,航运港口行业专题研究：为什么看好干散货的增长？,国海证券,https://gu.qq.com/resources/shy/news/detail-v2/index.html#/index?id=nesSN20260818090056b6959585&s=b,证券新闻
2026-08-16 20:45:21,000582,证券新闻,【华创交运|周报】聚焦7月数据：5家上市航司RPK同比增长，上海两场旅客量同比增长,华创交运,https://gu.qq.com/resources/shy/news/detail-v2/index.html#/index?id=nesSN20260816210521a4b05a21&s=b,证券新闻
2026-08-14 21:58:00,000582,证券新闻,龙虎榜机构新动向：净买入15股 净卖出17股,证券时报网,http://finance.eastmoney.com/a/202608143842057279.html,证券新闻
2026-08-14 21:58:00,000582,证券新闻,深股通现身13只个股龙虎榜,证券时报网,http://finance.eastmoney.com/a/202608143842057516.html,证券新闻
2026-08-14 18:33:50,000582,证券新闻,龙虎榜 | 北部湾港跌停，卖出前5共卖出1.15亿元，上榜原因：日跌幅偏离值达到7%的前5只证券,同壁财经,https://gu.qq.com/resources/shy/news/detail-v2/index.html#/index?id=nesSN2026081418512294d7b02a&s=b,证券新闻
2026-08-14 16:26:22,000582,证券新闻,北部湾港(000582)龙虎榜数据(08-14),东方财富Choice数据,http://stock.eastmoney.com/a/202608143841752191.html,证券新闻
2026-08-14 15:29:02,000582,证券新闻,北部湾港主力资金净流出3.0亿元 短期抛压主导波动 长期平陆运河逻辑待验证,智选洞察,https://gu.qq.com/resources/shy/news/detail-v2/index.html#/index?id=nesSN20260814155558a7042671&s=b,证券新闻
2026-08-14 13:50:57,000582,证券新闻,北部湾港跌停，前期涨7%难挡板块走弱,智选洞察,https://gu.qq.com/resources/shy/news/detail-v2/index.html#/index?id=nesSN20260814135108b6906858&s=b,证券新闻
2026-08-14 13:33:22,000582,证券新闻,北部湾港走低，盘中跌停,第一财经,https://gu.qq.com/resources/shy/news/detail-v2/index.html#/index?id=nesSN20260814134609973c2e78&s=b,证券新闻
2026-08-14 11:41:03,000582,证券新闻,北部湾港：平陆运河通航后，西江航运干线的船舶可经平陆运河从北部湾港出海，有助于腹地货源经由北部湾港出海，预计对公司经营产生积极影响,互动易,https://gu.qq.com/resources/shy/news/detail-v2/index.html#/index?id=nesSN20260814123107b69051f6&s=b,证券新闻
2026-08-14 09:38:20,000582,证券新闻,北部湾港-4.84% 港口板块回调及获利了结,智选洞察,https://gu.qq.com/resources/shy/news/detail-v2/index.html#/index?id=nesSN20260814101402a703b4a3&s=b,证券新闻
2026-08-14 09:30:40,000582,证券新闻,北部湾港8月13日被融资净卖出367万元,市场透视,https://gu.qq.com/resources/shy/news/detail-v2/index.html#/index?id=nesSN20260814095210973be280&s=b,证券新闻
2026-08-13 17:24:30,000582,证券新闻,跨区域港航合作提速：宁波远洋10.86亿元定增获批 北部湾港战略入股,上海证券报,https://gu.qq.com/resources/shy/news/detail-v2/index.html#/index?id=nesSN20260813182738b68f25d9&s=b,证券新闻
2026-08-13 15:38:08,000582,证券新闻,北部湾港主力资金净流出9523万 短期技术回调待景气验证,智选洞察,https://gu.qq.com/resources/shy/news/detail-v2/index.html#/index?id=nesSN20260813162941973ac3a6&s=b,证券新闻
2026-08-13 09:30:41,000582,证券新闻,北部湾港8月12日被融资净卖出945万元,市场透视,https://gu.qq.com/resources/shy/news/detail-v2/index.html#/index?id=nesSN20260813095208a701fe21&s=b,证券新闻
2026-08-12 17:53:08,000582,证券新闻,宁波港：宁波远洋定向发行获注册批复，发行价格7.47元/股宁波港：宁波远洋定向发行获注册批复，发行价格7.47元/股,财经网,https://gu.qq.com/resources/shy/news/detail-v2/index.html#/index?id=nesSN2026081217542294d44b86&s=b,证券新闻
2026-08-12 15:22:28,000582,证券新闻,北部湾港主力资金净流出4491.5万元 短期抛压加剧触发震荡整固,智选洞察,https://gu.qq.com/resources/shy/news/detail-v2/index.html#/index?id=nesSN20260812153649973905b7&s=b,证券新闻
2026-08-12 13:56:00,000582,证券新闻,广西海洋经济发展“十五五”规划：建设平陆运河经济带,人民财讯,https://gu.qq.com/resources/shy/news/detail-v2/index.html#/index?id=nesSN2026081213582094d3f4e8&s=b,证券新闻
2026-08-12 10:24:20,000582,证券新闻,广西水运江河海一体化调度平台试运行,中国交通新闻网,https://gu.qq.com/resources/shy/news/detail-v2/index.html#/index?id=nesSN20260812103513b68ccc55&s=b,证券新闻
2026-08-12 09:30:38,000582,证券新闻,北部湾港8月11日被融资净卖出1655万元,市场透视,https://gu.qq.com/resources/shy/news/detail-v2/index.html#/index?id=nesSN2026081209563794d3a3c5&s=b,证券新闻
2026-08-11 15:25:16,000582,证券新闻,北部湾港主力资金净流出1950万 短期情绪转慎压制上行 短期震荡整固待政策催化,智选洞察,https://gu.qq.com/resources/shy/news/detail-v2/index.html#/index?id=nesSN202608111544109737617f&s=b,证券新闻
2026-08-11 09:30:37,000582,证券新闻,北部湾港8月10日被融资净卖出2714万元,市场透视,https://gu.qq.com/resources/shy/news/detail-v2/index.html#/index?id=nesSN202608110955079736eb47&s=b,证券新闻
2026-08-10 15:18:23,000582,证券新闻,北部湾港主力资金净流入4470.4万元 短期情绪共振提振股价,智选洞察,https://gu.qq.com/resources/shy/news/detail-v2/index.html#/index?id=nesSN202608101521299735ad6d&s=b,证券新闻
2026-08-10 14:09:25,000582,证券新闻,北部湾港涨5.19% 多重利好共振推动股价上行,智选洞察,https://gu.qq.com/resources/shy/news/detail-v2/index.html#/index?id=nesSN202608101409319735959a&s=b,证券新闻
2026-08-10 09:30:39,000582,证券新闻,北部湾港8月7日被融资净卖出1286万元,市场透视,https://gu.qq.com/resources/shy/news/detail-v2/index.html#/index?id=nesSN20260810095416b68952ec&s=b,证券新闻
2026-08-10 00:00:00,000582,证券新闻,交通运输行业周报：快递“反内卷”再重视,华源证券,https://gu.qq.com/resources/shy/news/detail-v2/index.html#/index?id=nesSN20260810194156b68a2b04&s=b,证券新闻
2026-08-09 03:58:20,000582,证券新闻,北部湾港新增一起对外投资，被投资公司为防城港企英码头有限公司,证券之星APP,https://gu.qq.com/resources/shy/news/detail-v2/index.html#/index?id=nesSN20260809040150a6fb7316&s=b,证券新闻
2026-08-08 00:00:00,000582,证券新闻,交通运输行业定期报告：行业高质量发展关注快递 运价指数偏强推荐油运,中泰证券,https://gu.qq.com/resources/shy/news/detail-v2/index.html#/index?id=nesSN20260809132712a6fbe4db&s=b,证券新闻
2026-08-07 17:02:00,000582,证券新闻,3.38亿元主力资金今日撤离交通运输板块,证券时报网,http://finance.eastmoney.com/a/202608073835259577.html,证券新闻
2026-08-07 15:25:13,000582,证券新闻,北部湾港主力资金净流出1520.9万元 抛压收窄情绪趋稳待景气验证,智选洞察,https://gu.qq.com/resources/shy/news/detail-v2/index.html#/index?id=nesSN20260807154621a4a2d2a0&s=b,证券新闻
2026-08-07 09:30:40,000582,证券新闻,北部湾港8月6日获融资净买入2763万元,市场透视,https://gu.qq.com/resources/shy/news/detail-v2/index.html#/index?id=nesSN2026080709525294cc6134&s=b,证券新闻
2026-08-06 15:20:33,000582,证券新闻,北部湾港主力资金净流出7674.5万 短期压制股价待情绪修复,智选洞察,https://gu.qq.com/resources/shy/news/detail-v2/index.html#/index?id=nesSN20260806152731a6f78bf2&s=b,证券新闻
2026-08-06 09:30:42,000582,证券新闻,北部湾港8月5日被融资净卖出268万元,市场透视,https://gu.qq.com/resources/shy/news/detail-v2/index.html#/index?id=nesSN20260806095114972f9357&s=b,证券新闻
2026-08-05 15:37:06,000582,证券新闻,北部湾港主力资金净流入4060.5万 短期情绪回暖提振股价表现,智选洞察,https://gu.qq.com/resources/shy/news/detail-v2/index.html#/index?id=nesSN20260805162101972e604e&s=b,证券新闻
2026-08-05 09:30:39,000582,证券新闻,北部湾港8月4日获融资净买入311万元,市场透视,https://gu.qq.com/resources/shy/news/detail-v2/index.html#/index?id=nesSN20260805095158972dd2eb&s=b,证券新闻
2026-08-05 00:00:00,000582,证券新闻,航运港口2026年7月专题：集装箱吞吐量稳增 原油吞吐量持续承压,国海证券,https://gu.qq.com/resources/shy/news/detail-v2/index.html#/index?id=nesSN20260806084629b6836787&s=b,证券新闻
2026-08-04 17:53:17,000582,证券新闻,【天风交运】低估值+高成长，穿越周期,发掘交运价值,https://gu.qq.com/resources/shy/news/detail-v2/index.html#/index?id=nesSN2026080421071894c821dc&s=b,证券新闻
2026-08-04 16:49:00,000582,证券新闻,6.52亿元资金今日流出交通运输股,证券时报网,http://finance.eastmoney.com/a/202608043831237438.html,证券新闻
2026-08-04 09:30:38,000582,证券新闻,北部湾港8月3日被融资净卖出808万元,市场透视,https://gu.qq.com/resources/shy/news/detail-v2/index.html#/index?id=nesSN2026080409532394c72e3b&s=b,证券新闻
2026-08-03 19:39:50,000582,证券新闻,1艘5000马力燃油动力全回转拖轮启动招标,船海装备网,https://gu.qq.com/resources/shy/news/detail-v2/index.html#/index?id=nesSN20260803210912a49c3a8a&s=b,证券新闻
2026-08-03 09:30:38,000582,证券新闻,北部湾港7月31日被融资净卖出300万元,市场透视,https://gu.qq.com/resources/shy/news/detail-v2/index.html#/index?id=nesSN20260803095340a6f1cefb&s=b,证券新闻
2026-08-03 08:45:00,000582,证券新闻,【华创交运|周报】继续强调适度均衡：稳健红利+低估绩优+新兴成长,华创交运,https://gu.qq.com/resources/shy/news/detail-v2/index.html#/index?id=nesSN20260803093753972a5403&s=b,证券新闻
2026-07-31 15:27:00,000582,证券新闻,北部湾港主力资金净流出3939.5万 短期情绪扰动不改长期价值,智选洞察,https://gu.qq.com/resources/shy/news/detail-v2/index.html#/index?id=nesSN20260731154652a6ee4be5&s=b,证券新闻
2026-07-31 09:30:39,000582,证券新闻,北部湾港7月30日获融资净买入3387万元,市场透视,https://gu.qq.com/resources/shy/news/detail-v2/index.html#/index?id=nesSN20260731095141a6edcb87&s=b,证券新闻
2026-07-31 00:00:00,000582,证券新闻,北部湾港：平陆运河重塑货运格局 北部湾港迎来增长红利,财通证券,https://gu.qq.com/resources/shy/news/detail-v2/index.html#/index?id=nesSN2026080113470398ace1d1&s=b,证券新闻
2026-07-30 21:44:00,000582,证券新闻,北部湾港集团与天科院交流座谈并签署战略合作协议,证券时报,https://gu.qq.com/resources/shy/news/detail-v2/index.html#/index?id=nesSN2026073100572294c0f16f&s=b,证券新闻
2026-07-30 15:31:24,000582,证券新闻,北部湾港主力资金净流入1623.6万 运河概念重燃触发短期情绪修复,智选洞察,https://gu.qq.com/resources/shy/news/detail-v2/index.html#/index?id=nesSN2026073016024098a9b874&s=b,证券新闻
2026-07-30 12:43:02,000582,证券新闻,北部湾港：台风过境后公司以最快速度恢复了正常生产,互动易,https://gu.qq.com/resources/shy/news/detail-v2/index.html#/index?id=nesSN2026073012583198a9778e&s=b,证券新闻
2026-07-30 09:30:37,000582,证券新闻,北部湾港7月29日被融资净卖出264万元,市场透视,https://gu.qq.com/resources/shy/news/detail-v2/index.html#/index?id=nesSN2026073009494997249d17&s=b,证券新闻
2026-07-29 15:21:44,000582,证券新闻,北部湾港主力资金净流出2939.2万 短期承压待景气与资金面共振,智选洞察,https://gu.qq.com/resources/shy/news/detail-v2/index.html#/index?id=nesSN2026072915303997238b60&s=b,证券新闻
2026-07-29 09:30:36,000582,证券新闻,北部湾港7月28日获融资净买入989万元,市场透视,https://gu.qq.com/resources/shy/news/detail-v2/index.html#/index?id=nesSN2026072909504194be3399&s=b,证券新闻
2026-07-28 20:09:15,000582,证券新闻,广西：北部湾港集团150MW农光互补项目全容量并网！,智汇光伏,https://gu.qq.com/resources/shy/news/detail-v2/index.html#/index?id=nesSN20260728202106b6761484&s=b,证券新闻
2026-07-28 15:20:36,000582,证券新闻,北部湾港主力资金净流出3182.5万 短期分歧加大引发承压,智选洞察,https://gu.qq.com/resources/shy/news/detail-v2/index.html#/index?id=nesSN20260728152700a492ad72&s=b,证券新闻
2026-07-28 09:30:37,000582,证券新闻,北部湾港7月27日被融资净卖出782万元,市场透视,https://gu.qq.com/resources/shy/news/detail-v2/index.html#/index?id=nesSN2026072809502998a5fed9&s=b,证券新闻
2026-07-27 19:17:00,000582,证券新闻,强势股追踪 主力资金连续5日净流入114股,证券时报网,http://finance.eastmoney.com/a/202607273822271049.html,证券新闻
2026-07-27 16:38:03,000582,证券新闻,北部湾国际门户港发展指数发布 实现倍数级跨越式增长,中新经纬,https://gu.qq.com/resources/shy/news/detail-v2/index.html#/index?id=nesSN2026072717071594bb7768&s=b,证券新闻
2026-07-27 15:27:56,000582,证券新闻,北部湾港主力资金净流入7027.7万元 震荡上行态势有望延续,智选洞察,https://gu.qq.com/resources/shy/news/detail-v2/index.html#/index?id=nesSN2026072715504694bb5660&s=b,证券新闻
2026-07-27 09:30:41,000582,证券新闻,北部湾港7月24日获融资净买入3380万元 环比增加221.59%,市场透视,https://gu.qq.com/resources/shy/news/detail-v2/index.html#/index?id=nesSN20260727095039b6737fdc&s=b,证券新闻
2026-07-25 18:12:34,000582,证券新闻,平陆运河通航在即，北部湾港布下“先手棋”,中国水运报社,https://gu.qq.com/resources/shy/news/detail-v2/index.html#/index?id=nesSN20260725181654971df04c&s=b,证券新闻
2026-07-25 16:06:24,000582,证券新闻,北部湾港高管变动：莫怒辞职 汪国维接任总经理,雷达财经财富号,https://gu.qq.com/resources/shy/news/detail-v2/index.html#/index?id=nesSN20260725161642a48e9c7c&s=b,证券新闻
2026-07-25 12:00:00,000582,证券新闻,媒体关注北部湾港｜中国新闻网：广西出台系列配套支持政策 确保平陆运河通航即运营有货,北部湾港集团,https://gu.qq.com/resources/shy/news/detail-v2/index.html#/index?id=nesSN2026072512210494b8bd35&s=b,证券新闻
2026-07-24 21:08:52,000582,证券新闻,300亿广西国企换将，人均薪酬超20万元,华美财经,https://gu.qq.com/resources/shy/news/detail-v2/index.html#/index?id=nesSN2026072421140694b7e0da&s=b,证券新闻
2026-07-24 20:58:26,000582,证券新闻,打通临港铝业入川大通道！ 北部湾港—四川首列氧化铝专列发车,北部湾港集团,https://gu.qq.com/resources/shy/news/detail-v2/index.html#/index?id=nesSN20260724211823971ccbe2&s=b,证券新闻
2026-07-24 16:45:38,000582,证券新闻,北部湾港(000582.SZ)：副董事长汪国维辞任、董事兼总经理莫怒辞职，汪国维转聘为总经理,界面新闻,http://finance.eastmoney.com/a/202607243820500664.html,证券新闻
2026-07-24 16:11:13,000582,证券新闻,北部湾港：聘任汪国维为总经理,财联社,http://finance.eastmoney.com/a/202607243820467426.html,证券新闻
2026-07-24 15:42:26,000582,证券新闻,北部湾港主力资金净流入418.8万 短期情绪提振但缺乏板块共振,智选洞察,https://gu.qq.com/resources/shy/news/detail-v2/index.html#/index?id=nesSN20260724155244a6e3a386&s=b,证券新闻
2026-07-24 09:30:40,000582,证券新闻,北部湾港7月23日获融资净买入1051万元,市场透视,https://gu.qq.com/resources/shy/news/detail-v2/index.html#/index?id=nesSN2026072409503098a05d63&s=b,证券新闻
2026-07-23 15:35:55,000582,证券新闻,北部湾港主力资金净流入930.8万 短期企稳反弹动能积聚,智选洞察,https://gu.qq.com/resources/shy/news/detail-v2/index.html#/index?id=nesSN20260723154211a6e1d268&s=b,证券新闻
2026-07-23 09:30:36,000582,证券新闻,北部湾港7月22日被融资净卖出836万元,市场透视,https://gu.qq.com/resources/shy/news/detail-v2/index.html#/index?id=nesSN20260723094930a6e15571&s=b,证券新闻
2026-07-22 15:26:00,000582,证券新闻,今日61只个股突破半年线,证券时报网,http://finance.eastmoney.com/a/202607223817229576.html,证券新闻
2026-07-22 15:25:42,000582,证券新闻,北部湾港主力资金净流入186.5万 短期承压待战略落地验证,智选洞察,https://gu.qq.com/resources/shy/news/detail-v2/index.html#/index?id=nesSN20260722152943989d5b6c&s=b,证券新闻
2026-07-22 14:26:00,000582,证券新闻,今日盘中突破半年线个股,证券时报网,http://finance.eastmoney.com/a/202607223817187293.html,证券新闻
2026-07-22 11:01:43,000582,证券新闻,海运港口板块走强 中远海能涨7.01% 油轮及集装箱运价小幅回升,金吾资讯,https://gu.qq.com/resources/shy/news/detail-v2/index.html#/index?id=nesSN2026072211023097b1059e&s=b,证券新闻
2026-07-22 10:39:00,000582,证券新闻,60只股中线走稳 站上半年线,证券时报网,http://finance.eastmoney.com/a/202607223816952071.html,证券新闻
2026-07-22 10:08:22,000582,证券新闻,北部湾港涨5.02% 技术面突破与区域政策预期提振,智选洞察,https://gu.qq.com/resources/shy/news/detail-v2/index.html#/index?id=nesSN2026072210121297b0f18b&s=b,证券新闻
2026-07-22 09:30:42,000582,证券新闻,北部湾港7月21日被融资净卖出475万元,市场透视,https://gu.qq.com/resources/shy/news/detail-v2/index.html#/index?id=nesSN20260722094928989ce3be&s=b,证券新闻
2026-07-22 08:51:12,000582,证券新闻,北部湾港集团与梧州市座谈交流并签署战略合作框架协议,证券时报e公司,https://gu.qq.com/resources/shy/news/detail-v2/index.html#/index?id=nesSN20260722085311b66bde6b&s=b,证券新闻
2026-07-21 15:31:37,000582,证券新闻,北部湾港主力资金净流入313.2万 资金面与情绪共振触发短期波动,智选洞察,https://gu.qq.com/resources/shy/news/detail-v2/index.html#/index?id=nesSN2026072115384597aface2&s=b,证券新闻
2026-07-21 09:30:41,000582,证券新闻,北部湾港7月20日被融资净卖出918万元,市场透视,https://gu.qq.com/resources/shy/news/detail-v2/index.html#/index?id=nesSN2026072109493497af2cb9&s=b,证券新闻
2026-07-21 00:00:00,000582,证券新闻,航运港口：集运运价进入调整阶段 美东航线运价相对坚挺,中信建投证券股份有限公司,https://gu.qq.com/resources/shy/news/detail-v2/index.html#/index?id=nesSN20260721190900989bfc38&s=b,证券新闻
2026-07-20 19:07:55,000582,证券新闻,北部湾港铁山港西港区两个10万吨级泊位通过水工工程交工验收,北部湾港集团,https://gu.qq.com/resources/shy/news/detail-v2/index.html#/index?id=nesSN20260720200212a6dd0206&s=b,证券新闻
2026-07-20 16:07:15,000582,证券新闻,北部湾港主力资金净流出795.1万 短期情绪谨慎压制股价表现,智选洞察,https://gu.qq.com/resources/shy/news/detail-v2/index.html#/index?id=nesSN2026072016213795490df0&s=b,证券新闻
2026-07-20 11:18:14,000582,证券新闻,2600+！单航次发运量创新高 北部湾港打造汽车出海集聚高地,广西北部湾国际港务集团有限公司,https://gu.qq.com/resources/shy/news/detail-v2/index.html#/index?id=nesSN2026072011524497ad9bde&s=b,证券新闻
2026-07-20 09:30:35,000582,证券新闻,北部湾港7月17日获融资净买入23万元,市场透视,https://gu.qq.com/resources/shy/news/detail-v2/index.html#/index?id=nesSN20260720095043a4858180&s=b,证券新闻
2026-07-19 18:18:00,000582,证券新闻,两项新突破助力平陆运河通航！北部湾港集团平陆运河示范船、江海联运资质同步取得进展,北部湾港集团,https://gu.qq.com/resources/shy/news/detail-v2/index.html#/index?id=nesSN20260719182322a6db5802&s=b,证券新闻
2026-07-19 00:00:00,000582,证券新闻,2026年交运中期策略：价值洼地 趋势上行,国海证券,https://gu.qq.com/resources/shy/news/detail-v2/index.html#/index?id=nesSN2026072010305297ad7e1d&s=b,证券新闻
2026-07-18 00:00:00,000582,公告/事件,交通运输行业：业绩改善持续关注快递投资机会 避险需求提升推荐高速公路,中泰证券,https://gu.qq.com/resources/shy/news/detail-v2/index.html#/index?id=nesSN20260719195619a484d260&s=b,公告/事件
2026-07-17 15:23:18,000582,证券新闻,北部湾港主力资金净流出4928.2万 短期看空情绪增强压制上行空间,智选洞察,https://gu.qq.com/resources/shy/news/detail-v2/index.html#/index?id=nesSN202607171526279895f71f&s=b,证券新闻
2026-07-17 09:30:36,000582,证券新闻,北部湾港7月16日被融资净卖出229万元,市场透视,https://gu.qq.com/resources/shy/news/detail-v2/index.html#/index?id=nesSN20260717094903b6648b3a&s=b,证券新闻
